"","receiver","id_pk","station_name","deploy_date_time","recover_date_time","deploy_lat","deploy_long","detection_count","sum_deploy"
"59","VR2Tx-480720",2178,"VLVS7","00:00.0","00:00.0",51.35019,4.15036,338510,338510
"60","VR2Tx-480721",2166,"VLVS2","00:00.0","00:00.0",51.34472,4.13151,342038,342038
"61","VR2Tx-480722",2175,"VLVS14","00:00.0","00:00.0",51.36045,4.17565,340888,340888
"62","VR2Tx-480723",2118,"bpns-BIRKENFELS","00:00.0","00:00.0",51.649333,2.533833333,8,8
"63","VR2Tx-480723",2651,"bpns-CPowerReefballs","00:00.0","00:00.0",51.5800044,2.9954894,66000,157869
"64","VR2Tx-480876",2505,"S09-2","00:00.0","00:00.0",51.097162,5.11063,283000,794466
"65","VR2W-106251",1248,"R01","00:00.0","00:00.0",51.552,2.923,5620,232793
"66","VR2W-106251",1549,"bpns-OOSTDYCK","00:00.0","00:00.0",51.356333,2.518666667,3,3
"67","VR2W-106252",1251,"R02","00:00.0","00:00.0",51.55092,2.92157,57153,57153
"68","VR2W-106253",1253,"R03","00:00.0","00:00.0",51.54947,2.92248,41120,76809
"69","VR2W-108474",1550,"bpns-S4","00:00.0","00:00.0",51.417167,3.0475,10,89
"70","VR2W-110778",1252,"R04","00:00.0","00:00.0",51.54957,2.92508,40242,356378
"71","VR2W-110778",1438,"bpns-KB2","00:00.0","00:00.0",51.350667,2.703666667,24,24
"72","VR2W-110779",1254,"R05","00:00.0","00:00.0",51.55127,2.92557,39869,276505
"73","VR2W-110779",1274,"bpns-VG2","00:00.0","00:00.0",51.4325,2.802,15,179
"74","VR2W-110780",1255,"R06","00:00.0","00:00.0",51.54935,2.92983,318,1103
"75","VR2W-110781",1256,"R07","00:00.0","00:00.0",51.54847,2.92752,50768,197677
"76","VR2W-110782",1257,"R08","00:00.0","00:00.0",51.5469,2.92828,3874,62485
"77","VR2W-110783",1258,"R09","00:00.0","00:00.0",51.54692,2.93085,2771,274498
"78","VR2W-110784",1259,"R10","00:00.0","00:00.0",51.54843,2.9316,1797,150725
"79","VR2W-110784",1265,"bpns-WK12","00:00.0","00:00.0",51.461167,3.107,1449,20223
"80","VR2W-110869",1650,"bh-6","00:00.0","00:00.0",51.2505032,3.544414,1040,537642
"81","VR2W-110869",2774,"ak-34","00:00.0","00:00.0",51.1282853,5.1413858,101,15288
"82","VR2W-112285",1416,"bh-31","00:00.0","00:00.0",51.2903715,3.7164467,21947,22011
"83","VR2W-112285",2129,"HH7","00:00.0","00:00.0",51.055307,5.208966,348,49452
"84","VR2W-112286",1332,"bh-10","00:00.0","00:00.0",51.2596961,3.5803334,895,163216
"85","VR2W-112286",2029,"kn-Lier","00:00.0","00:00.0",51.14993,4.58453,1260,1321
"86","VR2W-112286",2392,"RingvWz","00:00.0","00:00.0",51.01406284,3.720740115,13,232
"87","VR2W-112287",1482,"bh-2","00:00.0","00:00.0",51.3306565,3.2236553,391,391
"88","VR2W-112287",2256,"s-2","30:00.0","00:00.0",51.00588,3.77876,13817,110437
"89","VR2W-112288",1386,"bh-33","00:00.0","00:00.0",51.3134659,3.7321561,1091,1982
"90","VR2W-112288",1568,"ak-22","00:00.0","00:00.0",50.9356423,5.4970086,3097,46238
"91","VR2W-112289",1358,"stgAsp","00:00.0","00:00.0",51.00435542,3.805413233,65,3476
"92","VR2W-112289",1390,"ws-25B","00:00.0","00:00.0",51.3465544,3.800172,40,516
"93","VR2W-112290",1359,"Tsost","00:00.0","00:00.0",50.99154287,3.723474181,165,2662
"94","VR2W-112290",1415,"bh-30","00:00.0","00:00.0",51.2448946,3.7481689,401832,450507
"95","VR2W-112290",2674,"ak-21","00:00.0","00:00.0",50.888339,5.57446,749,102940
"96","VR2W-112290",3282,"Test Rotselaar","00:00.0","00:00.0",50.947345,4.702879,9,66
"97","VR2W-112291",1389,"ws-16","00:00.0","00:00.0",51.3544901,3.795027,62,894
