collectioncode,seriescode,ocean,station_name,station_type,stn_lat,stn_long,stationstatus,locality,model,instrumenttype,deploy_date,last_download,recovery_date,downloads,off_set,the_geom,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.02,3.79,active,,VR2W,rcvr,20171004,,,1,,010100000052B81E85EB510E40C3F5285C8F824940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.02,3.93,active,,VR2W,rcvr,20171016,,,1,,0101000000713D0AD7A3700F40C3F5285C8F824940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.02,3.97,active,,VR2W,rcvr,20171016,,,1,,0101000000C3F5285C8FC20F40C3F5285C8F824940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.02,5.23,active,,VR2W,rcvr,20171024,,,1,,0101000000EC51B81E85EB1440C3F5285C8F824940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.03,4.18,active,,VR2W,rcvr,20171016,,,1,,0101000000B81E85EB51B81040A4703D0AD7834940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.04,4.05,active,,VR2W,rcvr,20171016,,,1,,0101000000333333333333104085EB51B81E854940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.04,4.09,active,,VR2W,rcvr,20171016,,,1,,01010000005C8FC2F5285C104085EB51B81E854940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.04,4.12,active,,VR2W,rcvr,20171017,,,1,,01010000007B14AE47E17A104085EB51B81E854940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.04,4.17,active,,VR2W,rcvr,20171017,,,1,,0101000000AE47E17A14AE104085EB51B81E854940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.04,5.22,active,,VR2W,rcvr,20171024,,,1,,0101000000E17A14AE47E1144085EB51B81E854940,,,,,,,,,,,,,,,,,,,,,,,,
Schelde,ETN,NE ATLANTIC,zeeschelde,acoustic,51.06,4.2,active,,VR2W,rcvr,20171016,,,1,,0101000000CDCCCCCCCCCC104048E17A14AE874940,,,,,,,,,,,,,,,,,,,,,,,,
Albertkanaal,ETN,NE ATLANTIC,albert,acoustic,51.06,5.21,active,,VR2W,rcvr,20171024,,,1,,0101000000D7A3703D0AD7144048E17A14AE874940,,,,,,,,,,,,,,,,,,,,,,,,
