id_pk,station_name,deploy_lat,deploy_long,det_count
1608,s-9a,51.19068,4.33602,4732
2033,s-Dendermonde,51.03855,4.1175,41572
2034,s-Vlassenbroek,51.03955,4.16605,871
2027,s-Wetteren,51.00164,3.85695,49672
2026,s-Wichelen,51.0168,3.92527,14978
1520,ws-11,51.4116308,3.7074635,6367
1387,ws-12A,51.3648799,3.765539,842
1522,ws-13,51.4071859,3.7080883,35753
1388,ws-14,51.3601518,3.7798113,449
1523,ws-15,51.386465,3.7080085,5450
1524,ws-15A,51.3805457,3.717259,1992
1389,ws-16,51.3544901,3.795027,894
1393,ws-18,51.3482621,3.8147323,313
1525,ws-23,51.3552573,3.7609896,753
1526,ws-25,51.351926,3.773559,1318
1624,ws-25A,51.352186,3.781008,249
1390,ws-25B,51.3465544,3.800172,516
1664,ws-2C,51.4169613,3.7188079,1077
1528,ws-4,51.3970414,3.7153436,2912
1625,ws-42A,51.42251303,4.032860596,272
1626,ws-53,51.41651283,4.027360624,353
1627,ws-53A,51.411167,4.029233,392
1628,ws-55,51.40221,4.02998,611
1529,ws-6,51.3913098,3.7161726,1882
1665,ws-A1,51.3724995,3.7229828,1310
1530,ws-A3,51.3655375,3.734487,569
1531,ws-A5,51.3584544,3.7454284,884
1610,ws-DL12,51.466175,3.502181,43
1611,ws-DL7,51.471342,3.475013,160
1612,ws-DL9,51.465842,3.48868,20
2261,ws-F42,51.42786,4.03246,119
1629,ws-FZ2,51.42601,4.03575,23
1448,ws-GVWSP,51.447341,3.470514,161
1630,ws-HW6,51.43484,4.02702,386
1614,ws-OG10,51.474675,3.510681,492
1615,ws-OGDL,51.46395,3.51263,237
1532,ws-PPB,51.3536136,3.7376409,301
1534,ws-PPC,51.353339,3.7522275,599
1536,ws-PVTSS,51.4018055,3.7089134,13793
1616,ws-SP3,51.459333,3.4718333,73
1449,ws-STEEN,51.403409,3.465898,1189
1618,ws-TRAWL,51.437785,3.470347,538
1619,ws-W6,51.41834,3.453181,1710
1620,ws-W7,51.410173,3.454515,161132
1451,ws-WN2,51.428174,3.462181,1131
2487,zandvlietsluis haven B,51.34458,4.30243,2306
